"Modul";"Tabelle";"Feldinhalt";"Feld";"Typ";"Art des Feldes";"Formel";"Tab";"Kategorie";"Status"
"objekte";"ObjFlaeche";"Gewerbefläche (verfügbar, m²)";"gewerbeflaeche_verfuegbar_qm";"float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Gewerbefläche (vermietet, m²)";"gewerbeflaeche_vermietet_qm";"float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Gewerbeflächen (verfügbar)";"anzahl_gewerbeeinheiten_verfuegbar";"Int(11)";"DATA_TYPE_NUMERIC";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Gewerbeflächen (vermietet)";"anzahl_gewerbeeinheiten_vermietet";"Int(11)";"DATA_TYPE_NUMERIC";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Lagereinheiten";"anzahl_lagereinheiten";"Int(11)";"DATA_TYPE_NUMERIC";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Lagereinheiten (verfügbar)";"anzahl_lagereinheiten_verfuegbar";"Int(11)";"DATA_TYPE_NUMERIC";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Lagereinheiten (vermietet)";"anzahl_lagereinheiten_vermietet";"Int(11)";"DATA_TYPE_NUMERIC";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Lagerfläche (verfügbar m²)";"lagerflaeche_verfuegbar_qm";"float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Lagerfläche (vermietet, m²)";"lagerflaeche_vermietet_qm";"float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Sonstige Fläche (verfügbar, m²)";"sonstflaeche_verfuegbar_qm";"float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Sonstige Fläche (vermietet, m²)";"sonstflaeche_vermietet_qm";"float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Sonstige Flächen";"anzahl_sonsteinheiten";"Int(11)";"DATA_TYPE_NUMERIC";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Sonstige Flächen (verfügbar)";"anzahl_sonsteinheiten_verfuegbar";"Int(11)";"DATA_TYPE_NUMERIC";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Sonstige Flächen (vermietet)";"anzahl_sonsteinheiten_vermietet";"Int(11)";"DATA_TYPE_NUMERIC";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Summe Flächen (verfügbar, m²)";"total_gesamtflaeche_verfuegbar_qm";"float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Summe Flächen (vermietet, m²)";"total_gesamtflaeche_vermietet_qm";"float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Wohneinheiten (verfügbar)";"anzahl_wohneinheiten_verfuegbar";"Int(11)";"DATA_TYPE_NUMERIC";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Wohneinheiten (vermietet)";"anzahl_wohneinheiten_vermietet";"Int(11)";"DATA_TYPE_NUMERIC";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Wohnen Fläche (verfügbar, m²)";"wohnflaeche_verfuegbar_qm";"float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Wohnen Fläche (vermietet, m²)";"wohnflaeche_vermietet_qm";"float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjPreise";"Gewerbe IST Miete/Jahr";"miete_pro_jahr_ist_gewerbe";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Gewerbe IST Miete/m²";"miete_pro_qm_ist_gewerbe";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Gewerbe SOLL Miete/Jahr";"miete_pro_jahr_soll_gewerbe";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Gewerbe SOLL Miete/m²";"miete_pro_qm_soll_gewerbe";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Lager IST Miete/Jahr";"miete_pro_jahr_ist_lager";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Lager IST Miete/m²";"miete_pro_qm_ist_lager";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Lager SOLL Miete/Jahr";"miete_pro_jahr_soll_lager";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Lager SOLL Miete/m²";"miete_pro_qm_soll_lager";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Sonstige Fläche IST Miete/Jahr";"miete_pro_jahr_ist_sonst";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Sonstige Fläche IST Miete/m²";"miete_pro_qm_ist_sonst";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Sonstige Fläche SOLL Miete/Jahr";"miete_pro_jahr_soll_sonst";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Sonstige Fläche SOLL Miete/m²";"miete_pro_qm_soll_sonst";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Wohnen IST Miete/Jahr";"miete_pro_jahr_ist_wohnen";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Wohnen IST Miete/m²";"miete_pro_qm_ist_wohnen";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Wohnen SOLL Miete/Jahr";"miete_pro_jahr_soll_wohnen";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Wohnen SOLL Miete/m²";"miete_pro_qm_soll_wohnen";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjTech";"Import Techangaben";"importTech";"Text";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"objekte";"ObjKategorie";"Import Kategorien";"importKategorie";"Text";"";"";"grunddaten";"Kategorie";"Inaktiv"
"objekte";"ObjPreise";"Import Preise";"importPreise";"Text";"";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjFlaeche";"Import Flächen";"importFlaeche";"Text";"";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjAusstattung";"Import Ausstattung";"importAusstattung";"Text";"";"";"details";"Ausstattung";"Inaktiv"
"objekte";"ObjInfra";"Import Infrastruktur";"importInfra";"Text";"";"";"details";"Infrastruktur";"Inaktiv"
"objekte";"ObjVerwaltung";"Import Verwaltung";"importVerwaltung";"Text";"";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjFreitexte";"Import Freitexte";"importFreitexte";"Text";"";"";"details";"Freitexte";"Inaktiv"
"adressen";"adressen";"Import Stammdaten";"importStammdaten";"Text";"";"";"grunddaten";"Stammdaten";"Inaktiv"
"adressen";"adressen";"Import Verwaltung";"importVerwaltung";"Text";"";"";"grunddaten";"Verwaltung";"Inaktiv"
"adressen";"adressen";"importId";"importId";"Varchar(255)";"";"";"grunddaten";"Stammdaten";"Inaktiv"
"objekte";"ObjPreise";"Preise zzgl. MwSt.";"zzg_mehrwertsteuer_Objekt";"VARCHAR(10)";"";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjHomepage";"veröffentlichen";"schaufensterTv_veroeffentlichen";"TINYINT(1)";"";"";"vermarktung";"";"Aktiv"
"objekte";"ObjAusstattung";"Import Merkmale";"import_merkmale";"Text";"";"";"details";"Ausstattung";"Inaktiv"
"objekte";"ObjVerwaltung";"Versteigerungswert";"versteigerungVerkehrswert";"Decimal(13,2)";"";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjVerwaltung";"Auftragsart (KIB)";"auftragsartKib";"Varchar(20)";"";"";"details";"Verwaltung";"Inaktiv"
"adressen";"adressen";"Geburtsname";"gwgGeburtsname";"VARCHAR(80)";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"objekte";"ObjTech";"Letzte Änderung";"geaendert_am";"Date";"DATA_TYPE_DATETIME";"";"grunddaten";"Technische-Angaben";"Aktiv"
"objekte";"ObjVerwaltung";"Bieterverfahren Beginn Angebotsphase";"bvBeginnAngebotsphase";"Date";"DATA_TYPE_DATE";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjVerwaltung";"Bieterverfahren Besichtigungstermin";"bvBesichtigungstermin";"Date";"DATA_TYPE_DATE";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjVerwaltung";"Bieterverfahren Besichtungstermin 2";"bvBesichtigungstermin_2";"Date";"DATA_TYPE_DATE";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjVerwaltung";"Bieterverfahren Beginn Bietzeit";"bvBeginnBietzeit";"Date";"DATA_TYPE_DATE";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjVerwaltung";"Bieterverfahren Ende Bietzeit";"bvEndeBietzeit";"Date";"DATA_TYPE_DATE";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjVerwaltung";"Bieterverfahren Höchstgebot zeigen";"bvHoechstgebotZeigen";"TINYINT(1)";"DATA_TYPE_BOOLEAN";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjVerwaltung";"Bieterverfahren Mindestpreis";"bvMindestpreis";"DECIMAL(13, 2)";"DATA_TYPE_MONETARY";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjFlaeche";"Anzahl Logia";"anzahl_logia";"Float(13,2)";"DATA_TYPE_NUMERIC";"";"preise_flaeche";"Flächen";"Inaktiv"
"adressen";"adressen";"Anschriftsart";"anschriftsart";"varchar(80)";"";"";"grunddaten";"Verwaltung";"Inaktiv"
"objekte";"ObjPreise";"Gesamtkosten pro m² von";"gesamtkostenProM2von";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Gesamtkosten pro m² bis";"gesamtkostenProM2bis";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Nebenkosten pro m² von";"nebenkostenProM2von";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Nebenkosten pro m² bis";"nebenkostenProM2bis";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Nettomiete pro m² von";"nettomieteProM2von";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Nettomiete pro m² bis";"nettomieteProM2bis";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Summe Innenprovision (intern)";"summe_innenprovision";"Decimal(13,2)";"DATA_TYPE_NUMERIC";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Summe Außenprovision (intern)";"summe_aussenprovision";"Decimal(13,2)";"DATA_TYPE_NUMERIC";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"MLS Abgabe Innenprovision";"provisionsAbgabe_innen";"VARCHAR(11)";"";"";"details";"Preise";"Aktiv"
"objekte";"ObjPreise";"MLS Abgabe Beschreibung";"mls_provisionsAbgabe_beschreibung";"Text";"";"";"details";"Preise";"Aktiv"
"objekte";"ObjTech";"Anfragen nicht automatisch beantworten";"preventAutomaticPortalResponse";"TINYINT(1)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"objekte";"ObjTech";"importId";"importId";"Varchar(80)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"objekte";"ObjZustand";"CO2-Emissionsklasse";"co2_Emissionsklasse";"VARCHAR(20)";"";"";"details";"Zustand";"Inaktiv"
"objekte";"ObjFreitexte";"STV Objektbeschreibung";"objektbeschreibung_STV";"Text";"";"";"freitexte";"Freitexte";"Inaktiv"
"objekte";"ObjFreitexte";"MLS Beschreibung";"mls_objektbeschreibung";"Text";"";"";"freitexte";"Freitexte";"Inaktiv"
"objekte";"ObjFreitexte";"MLS Lage";"mls_lage";"Text";"";"";"freitexte";"Freitexte";"Inaktiv"
"objekte";"ObjFreitexte";"MLS Ausstattung";"mls_ausstattung";"Text";"";"";"freitexte";"Freitexte";"Inaktiv"
"objekte";"ObjFreitexte";"MLS Sonstiges";"mls_sonstiges";"Text";"";"";"freitexte";"Freitexte";"Inaktiv"
"objekte";"ObjPreise";"Prozent Innenprovision (intern)";"prozent_innenprovision";"Decimal(7,4)";"DATA_TYPE_NUMERIC";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Prozent Außenprovision (intern)";"prozent_aussenprovision";"Decimal(7,4)";"DATA_TYPE_NUMERIC";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjTech";"Datensatzmerkmale";"obj_Datensatzmerkmale";"Text";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"adressen";"adressen";"Datensatzmerkmale";"adr_Datensatzmerkmale";"Text";"";"";"grunddaten";"Verwaltung";"Aktiv"
"objekte";"ObjHomepage";"Keine Suchmaschinen-Indexierung";"noIndex";"TINYINT(1)";"";"";"vermarktung";"";"Inaktiv"
"objekte";"ObjGeo";"FaP-Region";"fapRegion";"varchar(100)";"";"";"grunddaten";"Geografische-Angaben";"Inaktiv"
"adressen";"adressen";"Speichern-bis-Datum";"DSGVOSaveUntil";"Date";"DATA_TYPE_DATE";"";"grunddaten";"Verwaltung";"Aktiv"
"adressen";"adressen";"Speichern-bis-Grund";"DSGVOSaveUntilReason";"Text";"DATA_TYPE_NONE";"";"grunddaten";"Verwaltung";"Aktiv"
"adressen";"adressen";"DSGVO-Status";"DSGVOStatus";"Varchar(255)";"DATA_TYPE_NONE";"";"grunddaten";"Verwaltung";"Aktiv"
"objekte";"ObjPreise";"x fache (Soll)";"x_fache_soll";"Float(13,2)";"";"";"preise_flaechen";"Preise";"Aktiv"
"objekte";"ObjPreise";"Preis";"calculatedPrice";"decimal(13,2)";"";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjFlaeche";"Fläche";"calculatedArea";"decimal(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjZustand";"Umfang der Erschliessung";"erschliessung_umfang";"Varchar(20)";"";"";"details";"Zustand";"Inaktiv"
"objekte";"ObjVerwaltung";"Immobilienherkunft";"immobilienherkunft";"Text";"";"";"grunddaten";"Verwaltung";"Aktiv"
"objekte";"ObjVerwaltung";"Vermittlungswahrscheinlichkeit";"vermittlungswahrscheinlichkeit";"Varchar(80)";"";"";"grunddaten";"Verwaltung";"Aktiv"
"objekte";"ObjVerwaltung";"Akquise-Wahrscheinlichkeit";"akquise_wahrscheinlichkeit";"Varchar(80)";"";"";"grunddaten";"Verwaltung";"Aktiv"
"objekte";"ObjVerwaltung";"timum Buchungslink";"MP_timum_buchungslink";"VARCHAR(200)";"";"";"details";"Verwaltung";"Inaktiv"
"adressen";"addressFaktura";"USt-IdNr.";"ustIdNr";"Varchar(80)";"";"";"grunddaten";"Faktura";"Aktiv"
"adressen";"addressFaktura";"Steuerpflicht";"taxLiability";"Varchar(80)";"";"";"grunddaten";"Faktura";"Aktiv"
"adressen";"addressFaktura";"Zahlungsziel";"termOfPayment";"Varchar(80)";"";"";"grunddaten";"Faktura";"Aktiv"
"adressen";"addressFaktura";"Zahlungsart";"typeOfPayment";"Varchar(80)";"";"";"grunddaten";"Faktura";"Aktiv"
"adressen";"addressFaktura";"Zahlungsintervall";"paymentInterval";"Varchar(80)";"";"";"grunddaten";"Faktura";"Aktiv"
"adressen";"addressFaktura";"FakturaTrennlinie1";"addressFakturaSeparator1";"dividingLine";"";"";"";"Faktura";"Aktiv"
"adressen";"addressFaktura";"FakturaTrennlinie2";"addressFakturaSeparator2";"dividingLine";"";"";"";"Faktura";"Aktiv"
"objekte";"ObjZustand";"Ausstelldatum Energiepass";"energiepassAusstelldatum";"Date";"DATA_TYPE_DATE";"";"details";"Zustand";"Inaktiv"
"objekte";"ObjZustand";"Jahrgang Energiepass";"energiepassJahrgang";"Varchar(20)";"";"";"details";"Zustand";"Inaktiv"
"objekte";"ObjPreise";"geschätzter Marktwert";"MP_sprengnetterpreis";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Sprengnetter-Score";"MP_sprengnetterscore";"Decimal(13,2)";"DATA_TYPE_NUMERIC";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Sprengnetter-Min";"MP_sprengnettermin";"Decimal(13,2)";"";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Sprengnetter-Max";"MP_sprengnettermax";"Decimal(13,2)";"";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"iib Immobilien Richtwert";"iibImmobilienRichtwert";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjVerwaltung";"PriceHubble-Marktwertbericht";"MPPhDossierUrl";"Text";"";"";"details";"Verwaltung";"Inaktiv"
"adressen";"adressenSocialMedia";"Facebook";"facebook";"Link";"";"";"grunddaten";"Social Media";"Inaktiv"
"adressen";"adressenSocialMedia";"Twitter";"twitter";"Link";"";"";"grunddaten";"Social Media";"Inaktiv"
"adressen";"adressenSocialMedia";"YouTube";"youtube";"Link";"";"";"grunddaten";"Social Media";"Inaktiv"
"adressen";"adressenSocialMedia";"Instagram";"instagram";"Link";"";"";"grunddaten";"Social Media";"Inaktiv"
"adressen";"adressenSocialMedia";"LinkedIn";"linkedin";"Link";"";"";"grunddaten";"Social Media";"Inaktiv"
"adressen";"adressenSocialMedia";"Xing";"xing";"Link";"";"";"grunddaten";"Social Media";"Inaktiv"
"adressen";"addressFaktura";"Zuletzt synchronisiert (DATEV)";"datevLastSync";"datetime";"";"";"grunddaten";"Faktura";"Inaktiv"
"adressen";"addressFaktura";"IBAN (DATEV)";"datevIban";"Varchar(34)";"";"";"grunddaten";"Faktura";"Inaktiv"
"adressen";"addressFaktura";"BIC (DATEV)";"datevBic";"Varchar(11)";"";"";"grunddaten";"Faktura";"Inaktiv"
"objekte";"ObjVerwaltung";"Objektadresse in Word-Exposé/E-Mail freigeben";"objektadresse_freigeben_expose";"TINYINT(1)";"";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjVerwaltung";"Eigentümer in PDF Exposé freigeben";"eigentuemer_freigeben_pdf_expose";"TINYINT(1)";"";"";"details";"Verwaltung";"Inaktiv"
"adressen";"adressen";"Newsletter-Tags";"NewsletterTag";"text";"";"";"grunddaten";"Verwaltung";"Inaktiv"
"adressen";"addressFaktura";"USt-IdNr. Gültigkeit";"ustIdNrValidity";"Varchar(64)";"";"";"grunddaten";"Faktura";"Inaktiv"
"objekte";"ObjAusstattung";"Gartenhaus";"gardenhouse";"TINYINT(1)";"";"";"details";"Ausstattung";"Inaktiv"
"adressen";"addressFaktura";"SEPA-Mandatsreferenz";"sepaMandateReference";"Varchar(64)";"";"";"grunddaten";"Faktura";"Aktiv"
"adressen";"adressen";"Anfragen nicht automatisch beantworten";"preventAutomaticPortalResponseAddress";"tinyint(1)";"";"";"grunddaten";"Verwaltung";"Inaktiv"
"objekte";"ObjTech";"Verwertungsstatus";"verwertungsstatus";"VARCHAR(10)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"adressen";"addressFaktura";"Abweichende Firma";"companyForVatIdCheck";"Varchar(50)";"";"";"grunddaten";"Faktura";"Inaktiv"
"adressen";"addressFaktura";"Rechnungsanschrift";"differentReceiptAddress";"bemerkung";"";"";"grunddaten";"Faktura";"Inaktiv"
"adressen";"adressen";"Kontaktkategorie";"contactCategory";"VARCHAR(80)";"";"";"grunddaten";"Stammdaten";"Aktiv"
"adressen";"adressen";"Wohnsituation";"livingSituation";"VARCHAR(80)";"";"";"grunddaten";"Verwaltung";"Aktiv"
"adressen";"addressFaktura";"Freigabe Rechnung";"releaseReceipt";"tinyint(1)";"";"";"grunddaten";"Faktura";"Inaktiv"
"adressen";"addressRelations";"Firma";"companyLink";"Varchar(80)";"";"";"grunddaten";"Stammdaten";"Aktiv"
"adressen";"addressRelations";"Geschäftsstelle";"branchLink";"Varchar(80)";"";"";"grunddaten";"Stammdaten";"Aktiv"
"adressen";"addressRelations";"Abteilung";"departmentLink";"Varchar(80)";"";"";"grunddaten";"Stammdaten";"Aktiv"
"adressen";"addressRelations";"Erbengemeinschaft";"communityOfHeirsLink";"Varchar(80)";"";"";"grunddaten";"Stammdaten";"Aktiv"
"adressen";"addressRelations";"Eigentümergemeinschaft";"communityOfOwnersLink";"Varchar(80)";"";"";"grunddaten";"Stammdaten";"Aktiv"
"adressen";"addressRelations";"Dachverband";"umbrellaOrganizationLink";"Varchar(80)";"";"";"grunddaten";"Stammdaten";"Aktiv"
"adressen";"addressRelations";"Geschäftsstelle";"branch";"Varchar(80)";"";"";"grunddaten";"Stammdaten";"Aktiv"
"adressen";"addressRelations";"Abteilung";"department";"Varchar(80)";"";"";"grunddaten";"Stammdaten";"Aktiv"
"adressen";"addressRelations";"Erbengemeinschaft";"communityOfHeirs";"Varchar(80)";"";"";"grunddaten";"Stammdaten";"Aktiv"
"adressen";"addressRelations";"Eigentümergemeinschaft";"communityOfOwners";"Varchar(80)";"";"";"grunddaten";"Stammdaten";"Aktiv"
"adressen";"addressRelations";"Dachverband";"umbrellaOrganization";"Varchar(80)";"";"";"grunddaten";"Stammdaten";"Aktiv"
"adressen";"addressRelations";"Position";"Position_iU";"Varchar(80)";"";"";"grunddaten";"Stammdaten";"Aktiv"
"objekte";"ObjPreise";"Verkehrswert";"verkehrswert";"Decimal(13,2)";"";"";"preise_flaechen";"Preise";"Inaktiv"
"adressen";"addressRelations";"Trennlinie";"Seperator";"dividingLine";"";"";"grunddaten";"Stammdaten";"Aktiv"
"adressen";"adressen";"AdrID";"ID";"bigint(20)";"";"";"grunddaten";"Verwaltung";"Inaktiv"
"adressen";"addressRelations";"Verein";"association";"Varchar(80)";"";"";"grunddaten";"Stammdaten";"Aktiv"
"adressen";"addressRelations";"Institution";"institution";"Varchar(80)";"";"";"grunddaten";"Stammdaten";"Aktiv"
"adressen";"addressRelations";"Kontakt";"addressDescription";"Varchar(80)";"";"";"adressen";"Adress-Beziehungen";"Inaktiv"
"adressen";"adressen";"uuid";"uuid";"Varchar(36)";"";"";"grunddaten";"Stammdaten";"Inaktiv"
"objekte";"ObjTech";"uuid";"uuid";"Varchar(36)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"objekte";"ObjFreitexte";"FPRE Lage";"fpre_lage";"Text";"";"";"freitexte";"Freitexte";"Inaktiv"
"objekte";"ObjTech";"Einheit";"einheit";"TINYINT(1)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"objekte";"ObjVerwaltung";"Objekt geprüft von";"estateVerifiedUser";"User";"DATA_TYPE_USER";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjGeo";"Grundbuchblatt";"grundbuchblatt";"VARCHAR(80)";"";"";"grunddaten";"Geografische-Angaben";"Aktiv"
"objekte";"ObjGeo";"Grundbuch";"grundbuch";"VARCHAR(80)";"";"";"grunddaten";"Geografische-Angaben";"Aktiv"
"objekte";"ObjGeo";"Amtsgericht";"amtsgericht";"VARCHAR(80)";"";"";"grunddaten";"Geografische-Angaben";"Aktiv"
"objekte";"ObjFreitexte";"Sonstige Angaben Exposé";"sonstigeAngabenExpose";"Text";"";"";"freitexte";"Freitexte";"Inaktiv"
"objekte";"ObjFreitexte";"Lage Exposé";"lageExpose";"Text";"";"";"freitexte";"Freitexte";"Inaktiv"
"objekte";"ObjFreitexte";"Ausstattung Exposé";"ausstattungExpose";"Text";"";"";"freitexte";"Freitexte";"Inaktiv"
"objekte";"ObjFreitexte";"Beschreibung Exposé";"objektbeschreibungExpose";"Text";"";"";"freitexte";"Freitexte";"Inaktiv"
"objekte";"ObjFreitexte";"Freitext 01 (keine Portalübertragung)";"freitext01";"Text";"";"";"freitexte";"Freitexte";"Inaktiv"
"objekte";"ObjFreitexte";"Freitext 02 (keine Portalübertragung)";"freitext02";"Text";"";"";"freitexte";"Freitexte";"Inaktiv"
"objekte";"ObjFreitexte";"Freitext 03 (keine Portalübertragung)";"freitext03";"Text";"";"";"freitexte";"Freitexte";"Inaktiv"
"objekte";"ObjFreitexte";"Freitext 04 (keine Portalübertragung)";"freitext04";"Text";"";"";"freitexte";"Freitexte";"Inaktiv"
"objekte";"ObjFreitexte";"Freitext 05 (keine Portalübertragung)";"freitext05";"Text";"";"";"freitexte";"Freitexte";"Inaktiv"
"objekte";"ObjFreitexte";"Freitext 06 (keine Portalübertragung)";"freitext06";"Text";"";"";"freitexte";"Freitexte";"Inaktiv"
