"Modul";"Tabelle";"Feldinhalt";"Feld";"Typ";"Art des Feldes";"Formel";"Tab";"Kategorie";"Status"
"adressen";"adressen";"Staatsangehörigkeit";"gwgStaatsangehoerigkeit";"VARCHAR(80)";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"adressen";"adressen";"Ausweisnummer";"gwgAusweisnummer";"VARCHAR(80)";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"adressen";"adressen";"Ausweisart";"gwgAusweisart";"VARCHAR(80)";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"adressen";"adressen";"Geburtsort";"gwgGeburtsort";"VARCHAR(80)";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"adressen";"adressen";"wB Name";"gwgWbName";"VARCHAR(80)";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"adressen";"adressen";"wB Vorname";"gwgWbVorname";"VARCHAR(80)";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"adressen";"adressen";"Gwg-Geburtsdatum";"gwgGeburtsdatum";"Date";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"adressen";"adressen";"wB Geburtsort";"gwgWbGeburtsort";"VARCHAR(80)";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"adressen";"adressen";"wB Geburtsdatum";"gwgWbGeburtsdatum";"Date";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"adressen";"adressen";"wB Ort";"gwgWbOrt";"VARCHAR(80)";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"adressen";"adressen";"wB PLZ";"gwgWbPlz";"varchar(20)";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"adressen";"adressen";"wB Strasse";"gwgWbStrasse";"VARCHAR(80)";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"adressen";"adressen";"wB Staatsangehörigkeit";"gwgWbStaatsangehoerigkeit";"VARCHAR(80)";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"adressen";"adressen";"Mitglieder des Verwaltungsorgans";"gwgMitgliederVerwaltungsorgan";"Text";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"adressen";"adressen";"Registernummer";"gwgRegisternummer";"VARCHAR(80)";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"adressen";"adressen";"Rechtsform";"gwgRechtsform";"VARCHAR(80)";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"adressen";"adressen";"Vertragspartner";"gwgVertragspartner";"VARCHAR(80)";"";"";"grunddaten";"Geldwäsche-Gesetz";"Aktiv"
"objekte";"ObjVerwaltung";"Einheit minimale Mietdauer";"min_dauer";"VARCHAR(80)";"";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjVerwaltung";"Einheit maximale Mietdauer";"max_dauer";"VARCHAR(80)";"";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjPreise";"Ursprüngliches Provisionsziel";"provisionsziel";"Decimal(13,2)";"";"";"provisionsziel";"Preise";"Inaktiv"
